"","X.1","X","ï..DATE","TIME","BOROUGH","ZIP.CODE","LATITUDE","LONGITUDE","LOCATION","ON.STREET.NAME","CROSS.STREET.NAME","OFF.STREET.NAME","NUMBER.OF.PERSONS.INJURED","NUMBER.OF.PERSONS.KILLED","NUMBER.OF.PEDESTRIANS.INJURED","NUMBER.OF.PEDESTRIANS.KILLED","NUMBER.OF.CYCLIST.INJURED","NUMBER.OF.CYCLIST.KILLED","NUMBER.OF.MOTORIST.INJURED","NUMBER.OF.MOTORIST.KILLED","CONTRIBUTING.FACTOR.VEHICLE.1","CONTRIBUTING.FACTOR.VEHICLE.2","CONTRIBUTING.FACTOR.VEHICLE.3","CONTRIBUTING.FACTOR.VEHICLE.4","CONTRIBUTING.FACTOR.VEHICLE.5","UNIQUE.KEY","VEHICLE.TYPE.CODE.1","VEHICLE.TYPE.CODE.2","VEHICLE.TYPE.CODE.3","VEHICLE.TYPE.CODE.4","VEHICLE.TYPE.CODE.5","number_vehicles_involved"
"1",1,1,"09/02/2016","6:09","BROOKLYN",11226,40.6505297,-73.9558249,"(40.6505297, -73.9558249)","CHURCH AVENUE","BEDFORD AVENUE",,3,0,0,0,0,0,3,0,"Unspecified","Unspecified",,,,3517723,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"2",2,43,"07/01/2016","8:52","BROOKLYN",11226,40.6524883,-73.952663,"(40.6524883, -73.952663)","ROGERS AVENUE","LINDEN BOULEVARD",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3477657,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"3",3,246,"08/31/2016","10:08","MANHATTAN",10016,40.7440912,-73.9763477,"(40.7440912, -73.9763477)","EAST 33 STREET","2 AVENUE",,0,0,0,0,0,0,0,0,"Oversized Vehicle","Unspecified",,,,3542333,"SPORT UTILITY / STATION WAGON","PICK-UP TRUCK",,,,2
"4",4,272,"08/24/2015","2:45","QUEENS",11420,40.6812604,-73.8186788,"(40.6812604, -73.8186788)","122 STREET","111 AVENUE",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",3283556,"SPORT UTILITY / STATION WAGON","PASSENGER VEHICLE","PASSENGER VEHICLE","PASSENGER VEHICLE","PASSENGER VEHICLE",5
"5",6,403,"09/03/2015","8:00","BROOKLYN",11222,40.7281344,-73.9532731,"(40.7281344, -73.9532731)","CALYER STREET","MANHATTAN AVENUE",,0,0,0,0,0,0,0,0,"Unspecified",,,,,3289688,"PASSENGER VEHICLE","UNKNOWN",,,,2
"6",7,404,"08/23/2015","18:50","BROOKLYN",11204,40.6150052,-73.9802186,"(40.6150052, -73.9802186)","BAY PARKWAY","63 STREET",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3283351,"PASSENGER VEHICLE","UNKNOWN",,,,2
"7",8,477,"08/23/2015","9:20","BRONX",10454,40.8122647,-73.9205856,"(40.8122647, -73.9205856)","WILLIS AVENUE","EAST 143 STREET",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3283877,"PASSENGER VEHICLE","UNKNOWN",,,,2
"8",11,520,"09/12/2016","11:09","BRONX",10467,40.8795863,-73.8664214,"(40.8795863, -73.8664214)","EAST 213 STREET","WILLETT AVENUE",,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",,,,3517593,"PASSENGER VEHICLE","SPORT UTILITY / STATION WAGON",,,,2
"9",12,527,"09/12/2016","13:09","BROOKLYN",11236,40.6423428,-73.893961,"(40.6423428, -73.893961)","EAST 101 STREET","AVENUE K",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3518617,"PASSENGER VEHICLE",,,,,1
"10",13,528,"09/12/2016","13:09","QUEENS",11358,40.7608367,-73.8020486,"(40.7608367, -73.8020486)","NORTHERN BOULEVARD","164 STREET",,0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way","Backing Unsafely",,,,3518852,"SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON",,,,2
"11",14,537,"09/12/2016","14:09","MANHATTAN",10128,40.7798112,-73.9503374,"(40.7798112, -73.9503374)","2 AVENUE","EAST 89 STREET",,0,0,0,0,0,0,0,0,"Turning Improperly","Unspecified",,,,3518367,"PASSENGER VEHICLE",,,,,1
"12",15,542,"10/08/2015","21:26","STATEN ISLAND",10305,40.6129567,-74.0663478,"(40.6129567, -74.0663478)","MARYLAND AVENUE","WHITE STREET",,1,0,0,0,0,0,1,0,"Alcohol Involvement","Driver Inattention/Distraction",,,,3312182,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"13",16,543,"10/08/2015","21:30","QUEENS",11419,40.6927898,-73.8160402,"(40.6927898, -73.8160402)","101 AVENUE","131 STREET",,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",,,,3312001,"PASSENGER VEHICLE","UNKNOWN",,,,2
"14",17,544,"09/12/2016","14:09","BRONX",10467,40.8787451,-73.8725452,"(40.8787451, -73.8725452)","EAST GUN HILL ROAD","DECATUR AVENUE",,2,0,0,0,0,0,2,0,"Unsafe Lane Changing","Unspecified",,,,3517639,"SPORT UTILITY / STATION WAGON","PASSENGER VEHICLE",,,,2
"15",19,554,"09/12/2016","16:09","QUEENS",11377,40.7499324,-73.9034479,"(40.7499324, -73.9034479)","59 STREET","37 AVENUE",,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",,,,3518837,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"16",21,588,"09/12/2016","18:09","QUEENS",11423,40.7264018,-73.7798541,"(40.7264018, -73.7798541)","188 STREET","PERTH ROAD",,0,0,0,0,0,0,0,0,"Unspecified",,,,,3518823,"PICK-UP TRUCK","PASSENGER VEHICLE",,,,2
"17",23,593,"09/12/2016","19:09","BROOKLYN",11204,40.6267565,-73.9859683,"(40.6267565, -73.9859683)","54 STREET","17 AVENUE",,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",,,,3518570,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"18",24,627,"09/12/2016","6:09","MANHATTAN",10022,40.7648983,-73.9725534,"(40.7648983, -73.9725534)","5 AVENUE","EAST 60 STREET",,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",,,,3518356,"PASSENGER VEHICLE","SPORT UTILITY / STATION WAGON",,,,2
"19",25,634,"08/30/2016","22:08","MANHATTAN",10024,40.7849752,-73.982638,"(40.7849752, -73.982638)","WEST 79 STREET","RIVERSIDE DRIVE",,1,0,1,0,0,0,0,0,"Failure to Yield Right-of-Way",,,,,3533300,"BICYCLE",,,,,1
"20",28,654,"08/30/2016","8:08","BROOKLYN",11201,40.6922334,-73.9872996,"(40.6922334, -73.9872996)","JAY STREET","WILLOUGHBY STREET",,2,0,1,0,1,0,0,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion",,,,,3533292,"BICYCLE",,,,,1
"21",29,680,"09/12/2016","8:09","BRONX",10453,40.8483123,-73.9184353,"(40.8483123, -73.9184353)","UNIVERSITY AVENUE","BRANDT PLACE",,1,0,0,0,0,0,1,0,"Unspecified","Unspecified",,,,3517568,"PASSENGER VEHICLE","SPORT UTILITY / STATION WAGON",,,,2
"22",30,682,"09/12/2016","9:09","BROOKLYN",11211,40.7146912,-73.9426881,"(40.7146912, -73.9426881)","HUMBOLDT STREET","METROPOLITAN AVENUE",,0,0,0,0,0,0,0,0,"Backing Unsafely",,,,,3517951,"SPORT UTILITY / STATION WAGON",,,,,1
"23",33,695,"09/11/2016","11:09","MANHATTAN",10001,40.753261,-74.0038223,"(40.753261, -74.0038223)","WEST 30 STREET","11 AVENUE",,0,0,0,0,0,0,0,0,"Backing Unsafely","Unspecified",,,,3517248,"SPORT UTILITY / STATION WAGON",,,,,1
"24",34,696,"09/11/2016","11:09","MANHATTAN",10021,40.7684303,-73.9615482,"(40.7684303, -73.9615482)","EAST 70 STREET","3 AVENUE",,0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way","Unspecified",,,,3517377,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"25",35,698,"09/11/2016","11:09","QUEENS",11354,40.7589491,-73.8319096,"(40.7589491, -73.8319096)","ROOSEVELT AVENUE","PRINCE STREET",,1,0,0,0,1,0,0,0,"Failure to Yield Right-of-Way","Unspecified",,,,3518122,"BICYCLE","SPORT UTILITY / STATION WAGON",,,,2
"26",36,701,"09/11/2016","13:09","MANHATTAN",10128,40.7814797,-73.9562471,"(40.7814797, -73.9562471)","EAST 88 STREET","PARK AVENUE",,0,0,0,0,0,0,0,0,"Turning Improperly","Unspecified",,,,3517378,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"27",39,722,"09/11/2016","15:09","BROOKLYN",11203,40.6498688,-73.9340839,"(40.6498688, -73.9340839)","SNYDER AVENUE","EAST 46 STREET",,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Unspecified",,,,3517736,"SPORT UTILITY / STATION WAGON","PASSENGER VEHICLE",,,,2
"28",41,725,"08/21/2015","12:50","BROOKLYN",11214,40.5983729,-73.9879404,"(40.5983729, -73.9879404)","BAY 38 STREET","86 STREET",,0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way","Unspecified",,,,3282280,"PASSENGER VEHICLE","PICK-UP TRUCK",,,,2
"29",42,726,"09/11/2016","17:09","MANHATTAN",10011,40.7483561,-74.0036885,"(40.7483561, -74.0036885)","WEST 24 STREET","10 AVENUE",,0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way","Passing or Lane Usage Improper",,,,3517252,"SPORT UTILITY / STATION WAGON","PASSENGER VEHICLE",,,,2
"30",44,728,"09/11/2016","17:09","QUEENS",11435,40.6900183,-73.8032324,"(40.6900183, -73.8032324)","INWOOD STREET","LAKEWOOD AVENUE",,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",,,,3518002,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"31",46,732,"09/11/2016","18:09","QUEENS",11366,40.7319725,-73.7865,"(40.7319725, -73.7865)","184 STREET","73 AVENUE",,1,0,0,0,0,0,1,0,"Unspecified","Unspecified",,,,3518081,"MOTORCYCLE","SPORT UTILITY / STATION WAGON",,,,2
"32",47,738,"09/11/2016","20:09","BRONX",10469,40.8747045,-73.8580278,"(40.8747045, -73.8580278)","EAST GUN HILL ROAD","PAULDING AVENUE",,0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way","Unspecified",,,,3518500,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"33",49,754,"09/11/2016","23:09","MANHATTAN",10013,40.7229804,-74.0116023,"(40.7229804, -74.0116023)","WEST STREET","VESTRY STREET",,1,0,0,0,0,0,1,0,"Following Too Closely","Unspecified",,,,3518282,"PASSENGER VEHICLE",,,,,1
"34",50,759,"09/11/2016","3:09","BROOKLYN",11211,40.708426,-73.9579038,"(40.708426, -73.9579038)","BROADWAY","MARCY AVENUE",,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction",,,,,3517915,"SPORT UTILITY / STATION WAGON",,,,,1
"35",52,764,"09/11/2016","5:09","MANHATTAN",10021,40.7665462,-73.9510152,"(40.7665462, -73.9510152)","EAST 73 STREET","FDR DRIVE",,0,0,0,0,0,0,0,0,"Following Too Closely","Unspecified",,,,3517373,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"36",53,766,"09/11/2016","5:09","QUEENS",11368,40.7515446,-73.8708432,"(40.7515446, -73.8708432)","JUNCTION BOULEVARD","37 AVENUE",,1,0,0,0,6,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",,,,3518928,"BICYCLE","PASSENGER VEHICLE",,,,2
"37",54,767,"09/11/2016","5:09","QUEENS",11420,40.680037,-73.8299886,"(40.680037, -73.8299886)","109 AVENUE","110 STREET",,1,0,0,0,0,0,1,0,"Fell Asleep","Unspecified",,,,3518061,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"38",56,772,"09/11/2016","9:09","MANHATTAN",10002,40.710558,-73.9941422,"(40.710558, -73.9941422)","MARKET SLIP","CHERRY STREET",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3517198,"TAXI","PASSENGER VEHICLE",,,,2
"39",58,798,"09/10/2016","13:09","MANHATTAN",10128,40.7845658,-73.951883,"(40.7845658, -73.951883)","EAST 94 STREET","LEXINGTON AVENUE",,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",,,,3517368,"PICK-UP TRUCK","SPORT UTILITY / STATION WAGON",,,,2
"40",59,870,"09/09/2016","10:09","BRONX",10473,40.8239498,-73.8607014,"(40.8239498, -73.8607014)","STORY AVENUE","UNDERHILL AVENUE",,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",,,,3518450,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"41",61,882,"08/29/2016","21:08","MANHATTAN",10013,40.7233076,-74.00298,"(40.7233076, -74.00298)","WEST BROADWAY","BROOME STREET",,3,0,2,0,1,0,0,0,"Unsafe Speed",,,,,3533274,"BICYCLE",,,,,1
"42",62,887,"08/29/2016","2:08","QUEENS",11372,40.7546805,-73.8937353,"(40.7546805, -73.8937353)","NORTHERN BOULEVARD","73 STREET",,1,0,0,0,1,0,0,0,"Driver Inexperience",,,,,3533266,"BICYCLE",,,,,1
"43",63,890,"10/08/2015","21:35","MANHATTAN",10022,40.7571804,-73.9739824,"(40.7571804, -73.9739824)","PARK AVENUE","EAST 50 STREET",,0,0,0,0,0,0,0,0,"Prescription Medication","Unspecified",,,,3311657,"TAXI","UNKNOWN",,,,2
"44",64,916,"09/09/2016","18:09","MANHATTAN",10039,40.8235086,-73.9414273,"(40.8235086, -73.9414273)","8 AVENUE","WEST 146 STREET",,0,0,0,0,0,0,0,0,"Aggressive Driving/Road Rage","Unspecified",,,,3539279,"PASSENGER VEHICLE","MOTORCYCLE",,,,2
"45",65,938,"08/21/2015","9:30","BROOKLYN",11214,40.5845251,-73.985862,"(40.5845251, -73.985862)","WEST 17 STREET","AVENUE Z",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3282791,"UNKNOWN","PASSENGER VEHICLE",,,,2
"46",67,1020,"09/08/2016","8:09","BROOKLYN",11234,40.6198942,-73.9113877,"(40.6198942, -73.9113877)","AVENUE T","EAST 68 STREET",,0,0,0,0,0,0,0,0,"Traffic Control Disregarded","Unspecified",,,,3518550,"SPORT UTILITY / STATION WAGON",,,,,1
"47",69,1075,"09/07/2016","13:09","QUEENS",11105,40.7726568,-73.9009562,"(40.7726568, -73.9009562)","45 STREET","21 AVENUE",,0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way","Unspecified",,,,3518904,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"48",70,1140,"08/20/2015","9:05","QUEENS",11106,40.765215,-73.9394209,"(40.765215, -73.9394209)","9 STREET","34 AVENUE",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3281427,"PASSENGER VEHICLE","UNKNOWN",,,,2
"49",71,1146,"09/07/2016","23:09","MANHATTAN",10016,40.7503422,-73.983174,"(40.7503422, -73.983174)","WEST 37 STREET","5 AVENUE",,0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way","Failure to Yield Right-of-Way",,,,3517276,"TAXI","TAXI",,,,2
"50",72,1203,"08/27/2016","0:08","BRONX",10457,40.8510399,-73.885452,"(40.8510399, -73.885452)","CROTONA AVENUE","GROTE STREET",,1,0,0,0,0,0,1,0,"Failure to Yield Right-of-Way","Unspecified",,,,3540889,"PASSENGER VEHICLE",,,,,1
"51",73,1229,"08/27/2016","13:08","BRONX",10471,40.8896286,-73.9114694,"(40.8896286, -73.9114694)","BLACKSTONE AVENUE","WEST 239 STREET",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3517612,"SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON",,,,2
"52",74,1230,"10/08/2015","21:40","MANHATTAN",10017,40.7542505,-73.9689773,"(40.7542505, -73.9689773)","EAST 49 STREET","2 AVENUE",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3310993,"PASSENGER VEHICLE","UNKNOWN",,,,2
"53",75,1231,"10/08/2015","21:40","MANHATTAN",10023,40.7754866,-73.9821639,"(40.7754866, -73.9821639)","WEST 68 STREET","BROADWAY",,0,0,0,0,0,0,0,0,"Unspecified",,,,,3311690,"PASSENGER VEHICLE",,,,,1
"54",76,1232,"10/08/2015","21:45","BROOKLYN",11201,40.6899325,-73.9814728,"(40.6899325, -73.9814728)","FLATBUSH AVENUE EXTENSION","DEKALB AVENUE",,0,0,0,0,0,0,0,0,"Lost Consciousness","Lost Consciousness",,,,3311946,"TAXI","PASSENGER VEHICLE",,,,2
"55",77,1233,"10/08/2015","21:45","MANHATTAN",10036,40.7591997,-73.9846193,"(40.7591997, -73.9846193)","7 AVENUE","WEST 47 STREET",,0,0,0,0,0,0,0,0,"Lane Marking Improper/Inadequate","Lane Marking Improper/Inadequate",,,,3320789,"LIVERY VEHICLE","TAXI",,,,2
"56",78,1234,"10/08/2015","21:45","BRONX",10473,40.8238274,-73.861623,"(40.8238274, -73.861623)","STORY AVENUE","LELAND AVENUE",,1,0,0,0,0,0,1,0,"Outside Car Distraction","Unspecified",,,,3311761,"SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON",,,,2
"57",79,1235,"10/08/2015","21:47","MANHATTAN",10003,40.7319971,-73.990211,"(40.7319971, -73.990211)","EAST 11 STREET","4 AVENUE",,0,0,0,0,0,0,0,0,"Other Vehicular","Unspecified",,,,3311615,"TAXI","TAXI",,,,2
"58",80,1415,"08/27/2016","18:08","BRONX",10452,40.8418183,-73.9224369,"(40.8418183, -73.9224369)","GRANT HIGHWAY","NELSON AVENUE",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3508333,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"59",81,1421,"09/03/2016","14:09","BROOKLYN",11212,40.661909,-73.9275661,"(40.661909, -73.9275661)","EAST 92 STREET","RUTLAND ROAD",,2,0,0,0,0,0,2,0,"Fatigued/Drowsy","Unspecified",,,,3517746,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"60",82,1467,"08/18/2015","21:00","BROOKLYN",11206,40.7007187,-73.9297888,"(40.7007187, -73.9297888)","JEFFERSON STREET","CENTRAL AVENUE",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3280558,"MOTORCYCLE","UNKNOWN",,,,2
"61",84,1510,"10/08/2015","21:51","QUEENS",11411,40.6896177,-73.727845,"(40.6896177, -73.727845)","235 STREET","118 AVENUE",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3312052,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"62",86,1590,"10/08/2015","21:55","BRONX",10458,40.8592561,-73.886732,"(40.8592561, -73.886732)","EAST FORDHAM ROAD","LORILLARD PLACE",,1,0,1,0,0,0,0,0,"Failure to Yield Right-of-Way",,,,,3311811,"SPORT UTILITY / STATION WAGON",,,,,1
"63",87,1656,"08/17/2015","1:01","QUEENS",11419,40.6828189,-73.8272377,"(40.6828189, -73.8272377)","114 STREET","107 AVENUE",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3279312,"PASSENGER VEHICLE",,,,,1
"64",89,1721,"01/15/2016","18:30","QUEENS",11377,40.7453924,-73.9066122,"(40.7453924, -73.9066122)","ROOSEVELT AVENUE","58 STREET",,1,0,0,0,1,0,0,0,"Unspecified","Unspecified",,,,3372033,"PASSENGER VEHICLE","BICYCLE",,,,2
"65",90,1722,"01/15/2016","19:00","BRONX",10466,40.8794247,-73.8427393,"(40.8794247, -73.8427393)","EAST 223 STREET","BOSTON ROAD",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3371777,"SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON",,,,2
"66",91,1723,"01/15/2016","19:00","BROOKLYN",11203,40.6605938,-73.9313269,"(40.6605938, -73.9313269)","UTICA AVENUE","RUTLAND ROAD",,0,0,0,0,0,0,0,0,"Outside Car Distraction",,,,,3371833,"SPORT UTILITY / STATION WAGON",,,,,1
"67",92,1724,"01/15/2016","19:00","QUEENS",11373,40.7334973,-73.8703694,"(40.7334973, -73.8703694)","QUEENS BOULEVARD","WOODHAVEN BOULEVARD",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified","Unspecified",,,3371493,"SPORT UTILITY / STATION WAGON","PASSENGER VEHICLE","UNKNOWN",,,3
"68",93,1725,"01/15/2016","20:00","BRONX",10465,40.8285193,-73.8411794,"(40.8285193, -73.8411794)","BRUSH AVENUE","BRUCKNER BOULEVARD",,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",,,,3371759,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"69",94,1746,"09/01/2016","8:09","BROOKLYN",11226,40.6516965,-73.9496688,"(40.6516965, -73.9496688)","NOSTRAND AVENUE","MARTENSE STREET",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3517738,"PASSENGER VEHICLE",,,,,1
"70",95,1752,"07/26/2016","18:00","QUEENS",11434,40.6674319,-73.7667546,"(40.6674319, -73.7667546)","NORTH CONDUIT AVENUE","FARMERS BOULEVARD",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3489073,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"71",96,1809,"08/16/2015","15:55","QUEENS",11434,40.6862725,-73.77381,"(40.6862725, -73.77381)","MERRICK BOULEVARD","118 ROAD",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3278771,"UNKNOWN",,,,,1
"72",98,1860,"04/15/2016","22:00","BROOKLYN",11203,40.642134,-73.9293532,"(40.642134, -73.9293532)","UTICA AVENUE","AVENUE D",,0,0,0,0,0,0,0,0,"Driver Inexperience","Driver Inexperience","Driver Inexperience",,,3416511,"PASSENGER VEHICLE","PASSENGER VEHICLE","PASSENGER VEHICLE",,,3
"73",99,1861,"04/15/2016","22:00","BROOKLYN",11215,40.6577118,-73.9828514,"(40.6577118, -73.9828514)","18 STREET","PROSPECT PARK WEST",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3418170,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"74",100,1862,"04/15/2016","22:00","QUEENS",11420,40.6767616,-73.8134815,"(40.6767616, -73.8134815)","116 AVENUE","125 STREET",,0,0,0,0,0,0,0,0,"Alcohol Involvement","Alcohol Involvement","Alcohol Involvement","Alcohol Involvement","Alcohol Involvement",3424749,"PASSENGER VEHICLE","PASSENGER VEHICLE","PASSENGER VEHICLE","PASSENGER VEHICLE","PASSENGER VEHICLE",5
"75",101,1892,"04/15/2016","22:42","BROOKLYN",11233,40.6694768,-73.9199662,"(40.6694768, -73.9199662)","EASTERN PARKWAY","HOWARD AVENUE",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3418476,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"76",103,1961,"04/15/2016","7:21","MANHATTAN",10035,40.8050573,-73.9390342,"(40.8050573, -73.9390342)","EAST 125 STREET","PARK AVENUE",,1,0,1,0,0,0,0,0,"Aggressive Driving/Road Rage",,,,,3409944,"MOTORCYCLE",,,,,1
"77",105,1963,"04/15/2016","7:30","BROOKLYN",11224,40.5787008,-73.9873391,"(40.5787008, -73.9873391)","NEPTUNE AVENUE","WEST 20 STREET",,0,0,0,0,0,0,0,0,"Glare","Glare",,,,3414642,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"78",106,2031,"06/09/2016","15:00","BROOKLYN",11216,40.6752029,-73.9500007,"(40.6752029, -73.9500007)","NOSTRAND AVENUE","SAINT MARKS AVENUE",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3459794,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"79",107,2032,"06/09/2016","15:00","BROOKLYN",11221,40.6892183,-73.9176492,"(40.6892183, -73.9176492)","PUTNAM AVENUE","BUSHWICK AVENUE",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3459408,"PASSENGER VEHICLE","LARGE COM VEH(6 OR MORE TIRES)",,,,2
"80",110,2045,"08/15/2015","18:00","QUEENS",11354,40.7624202,-73.8275149,"(40.7624202, -73.8275149)","37 AVENUE","UNION STREET",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3278252,"PASSENGER VEHICLE","UNKNOWN",,,,2
"81",111,2197,"08/14/2015","14:04","BROOKLYN",11201,40.6960346,-73.9845292,"(40.6960346, -73.9845292)","TILLARY STREET","FLATBUSH AVENUE EXTENSION",,0,0,0,0,0,0,0,0,"Oversized Vehicle","Unspecified",,,,3278090,"SPORT UTILITY / STATION WAGON","LARGE COM VEH(6 OR MORE TIRES)",,,,2
"82",112,2228,"08/29/2016","15:08","BROOKLYN",11218,40.63544,-73.9791136,"(40.63544, -73.9791136)","DAHILL ROAD","DITMAS AVENUE",,2,0,0,0,0,0,2,0,"Failure to Yield Right-of-Way","Failure to Yield Right-of-Way",,,,3517683,"PASSENGER VEHICLE","TAXI",,,,2
"83",113,2236,"08/16/2015","3:00","QUEENS",11692,40.5950577,-73.7943986,"(40.5950577, -73.7943986)","THURSBY AVENUE","BEACH 65 STREET",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3278633,"PASSENGER VEHICLE","UNKNOWN",,,,2
"84",114,2317,"08/14/2015","21:12","BROOKLYN",11213,40.6685062,-73.9256052,"(40.6685062, -73.9256052)","BUFFALO AVENUE","EASTERN PARKWAY",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3278049,"PASSENGER VEHICLE","UNKNOWN",,,,2
"85",116,2363,"08/14/2015","9:15","BROOKLYN",11210,40.6136195,-73.9530471,"(40.6136195, -73.9530471)","EAST 21 STREET","AVENUE O",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3277439,"SPORT UTILITY / STATION WAGON","PASSENGER VEHICLE",,,,2
"86",117,2429,"04/14/2016","19:10","STATEN ISLAND",10312,40.5398978,-74.1610238,"(40.5398978, -74.1610238)","RICHMOND AVE","SYCAMORE STREET",,0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way","Failure to Yield Right-of-Way",,,,3430705,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"87",118,2430,"04/14/2016","19:20","MANHATTAN",10011,40.7428639,-74.0039696,"(40.7428639, -74.0039696)","9 AVENUE","WEST 17 STREET",,0,0,0,0,0,0,0,0,"Lost Consciousness","Lost Consciousness",,,,3406715,"PASSENGER VEHICLE",,,,,1
"88",119,2431,"04/14/2016","19:23","QUEENS",11106,40.7581273,-73.9285011,"(40.7581273, -73.9285011)","35 AVENUE","31 STREET",,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",,,,3429063,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"89",120,2461,"08/16/2015","3:00","QUEENS",11369,40.7647194,-73.870861,"(40.7647194, -73.870861)","99 STREET","25 AVENUE",,5,0,0,0,0,0,5,0,"Unspecified","Unspecified",,,,3279446,"PASSENGER VEHICLE","OTHER",,,,2
"90",121,2484,"04/14/2016","20:30","MANHATTAN",10023,40.7704805,-73.9838549,"(40.7704805, -73.9838549)","COLUMBUS AVENUE","WEST 61 STREET",,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",,,,3409267,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
