"","X.1","X","ï..DATE","TIME","BOROUGH","ZIP.CODE","LATITUDE","LONGITUDE","LOCATION","ON.STREET.NAME","CROSS.STREET.NAME","OFF.STREET.NAME","NUMBER.OF.PERSONS.INJURED","NUMBER.OF.PERSONS.KILLED","NUMBER.OF.PEDESTRIANS.INJURED","NUMBER.OF.PEDESTRIANS.KILLED","NUMBER.OF.CYCLIST.INJURED","NUMBER.OF.CYCLIST.KILLED","NUMBER.OF.MOTORIST.INJURED","NUMBER.OF.MOTORIST.KILLED","CONTRIBUTING.FACTOR.VEHICLE.1","CONTRIBUTING.FACTOR.VEHICLE.2","CONTRIBUTING.FACTOR.VEHICLE.3","CONTRIBUTING.FACTOR.VEHICLE.4","CONTRIBUTING.FACTOR.VEHICLE.5","UNIQUE.KEY","VEHICLE.TYPE.CODE.1","VEHICLE.TYPE.CODE.2","VEHICLE.TYPE.CODE.3","VEHICLE.TYPE.CODE.4","VEHICLE.TYPE.CODE.5","number_vehicles_involved"
"809",1200,6649,"11/04/2016","17:11","QUEENS",11422,40.6367879,-73.740563,"(40.6367879, -73.740563)","ROCKAWAY BOULEVARD","1 STREET",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3554238,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"810",1204,6678,"11/04/2016","17:11","QUEENS",11429,40.7039497,-73.7453113,"(40.7039497, -73.7453113)","COLFAX STREET","113 AVENUE",,1,0,1,0,0,0,0,0,"Glare",,,,,3554445,"SPORT UTILITY / STATION WAGON",,,,,1
"811",1205,6680,"11/04/2016","17:11","QUEENS",11423,40.7254761,-73.7655773,"(40.7254761, -73.7655773)","MCLAUGHLIN AVENUE","FRANCIS LEWIS BOULEVARD",,2,0,0,0,0,0,2,0,"Unspecified","Unspecified",,,,3554044,"SPORT UTILITY / STATION WAGON","PASSENGER VEHICLE",,,,2
"812",1206,6681,"11/04/2016","17:11","STATEN ISLAND",10309,40.5191263,-74.197135,"(40.5191263, -74.197135)","HYLAN BOULEVARD","SEGUINE AVENUE",,2,0,0,0,0,0,2,0,"Failure to Yield Right-of-Way","Unspecified",,,,3554694,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"813",1208,6683,"11/04/2016","18:11","MANHATTAN",10016,40.7495397,-73.9774357,"(40.7495397, -73.9774357)","LEXINGTON AVENUE","EAST 39 STREET",,0,0,0,0,0,0,0,0,"Other Vehicular","Other Vehicular",,,,3554110,"SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON",,,3
"814",1209,6684,"11/04/2016","18:11","MANHATTAN",10023,40.7697419,-73.9821185,"(40.7697419, -73.9821185)","WEST 61 STREET","BROADWAY",,0,0,0,0,0,0,0,0,"Following Too Closely","Unspecified",,,,3554259,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"815",1210,6685,"11/04/2016","18:11","MANHATTAN",10032,40.8398674,-73.9369134,"(40.8398674, -73.9369134)","WEST 168 STREET","AMSTERDAM AVENUE",,0,0,0,0,0,0,0,0,"Turning Improperly","Unspecified",,,,3555089,"PASSENGER VEHICLE",,,,,1
"816",1212,6687,"11/04/2016","18:11","QUEENS",11377,40.7432163,-73.9071602,"(40.7432163, -73.9071602)","43 AVENUE","58 STREET",,0,0,0,0,0,0,0,0,"Unspecified",,,,,3554009,"SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON",,,,2
"817",1213,6689,"11/04/2016","18:11","QUEENS",11434,40.674459,-73.779492,"(40.674459, -73.779492)","131 AVENUE","160 STREET",,0,0,0,0,0,0,0,0,"Turning Improperly","Unspecified",,,,3554096,"SPORT UTILITY / STATION WAGON","PASSENGER VEHICLE",,,,2
"818",1214,6690,"11/04/2016","18:11","QUEENS",11435,40.6922003,-73.8097096,"(40.6922003, -73.8097096)","LIBERTY AVENUE","REMINGTON STREET",,0,0,0,0,0,0,0,0,"Oversized Vehicle","Passing or Lane Usage Improper",,,,3554194,"SPORT UTILITY / STATION WAGON",,,,,1
"819",1215,6691,"11/04/2016","18:11","STATEN ISLAND",10304,40.6059118,-74.0926813,"(40.6059118, -74.0926813)","RICHMOND ROAD","ROOSEVELT STREET",,0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way","Driver Inattention/Distraction",,,,3554182,"PASSENGER VEHICLE","SPORT UTILITY / STATION WAGON",,,,2
"820",1216,6700,"11/04/2016","18:11","BRONX",10455,40.8154258,-73.8984685,"(40.8154258, -73.8984685)","EAST 156 STREET","FOX STREET",,1,0,0,0,0,0,1,0,"Brakes Defective","Unspecified",,,,3554386,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"821",1217,6703,"07/25/2015","11:15","QUEENS",11105,40.7787796,-73.9001672,"(40.7787796, -73.9001672)","STEINWAY PLACE","19 AVENUE",,1,0,0,0,0,0,1,0,"Unspecified",,,,,3275037,"MOTORCYCLE",,,,,1
"822",1218,6704,"11/04/2016","18:11","BROOKLYN",11236,40.6457036,-73.901433,"(40.6457036, -73.901433)","EAST 98 STREET","GLENWOOD ROAD",,2,0,2,0,0,0,0,0,"Backing Unsafely",,,,,3554754,"SPORT UTILITY / STATION WAGON",,,,,1
"823",1219,6705,"11/04/2016","19:11","BRONX",10452,40.8450614,-73.9130865,"(40.8450614, -73.9130865)","TOWNSEND AVENUE","EAST 174 STREET",,0,0,0,0,0,0,0,0,"Unsafe Lane Changing","Unspecified",,,,3554841,"PASSENGER VEHICLE","PICK-UP TRUCK",,,,2
"824",1223,6709,"11/04/2016","19:11","BROOKLYN",11207,40.6585778,-73.8906229,"(40.6585778, -73.8906229)","PENNSYLVANIA AVENUE","LINDEN BOULEVARD",,0,0,0,0,0,0,0,0,"Unsafe Lane Changing","Unspecified",,,,3554208,"SPORT UTILITY / STATION WAGON","PASSENGER VEHICLE",,,,2
"825",1226,6712,"11/04/2016","19:11","MANHATTAN",10017,40.7507645,-73.9684267,"(40.7507645, -73.9684267)","1 AVENUE","EAST 45 STREET",,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",,,,3554125,"SPORT UTILITY / STATION WAGON","PASSENGER VEHICLE",,,,2
"826",1227,6713,"11/04/2016","19:11","QUEENS",11372,40.7477341,-73.8829986,"(40.7477341, -73.8829986)","ROOSEVELT AVENUE","83 STREET",,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified","Unspecified",,,3554461,"SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON",,,3
"827",1228,6714,"11/04/2016","19:11","QUEENS",11429,40.7114692,-73.7314927,"(40.7114692, -73.7314927)","223 STREET","103 AVENUE",,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",,,,3554134,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"828",1229,6738,"11/04/2016","19:11","BRONX",10457,40.8448836,-73.9102748,"(40.8448836, -73.9102748)","EAST 174 STREET","SELWYN AVENUE",,1,0,1,0,0,0,0,0,"Failure to Yield Right-of-Way",,,,,3554879,"SPORT UTILITY / STATION WAGON",,,,,1
"829",1231,6740,"11/04/2016","19:11","MANHATTAN",10001,40.7478946,-73.9891656,"(40.7478946, -73.9891656)","WEST 31 STREET","AVENUE OF THE AMERICAS",,1,0,0,0,1,0,0,0,"Driver Inattention/Distraction","Unspecified",,,,3554889,"TAXI","BICYCLE",,,,2
"830",1232,6741,"11/04/2016","19:11","QUEENS",11385,40.7096821,-73.8989037,"(40.7096821, -73.8989037)","FRESH POND ROAD","LINDEN STREET",,1,0,0,0,0,0,1,0,"Following Too Closely","Unspecified",,,,3555045,"SPORT UTILITY / STATION WAGON","PASSENGER VEHICLE",,,,2
